	AP_D1	AP_D9	AP_D17	AP_D25	AP_D33	AP_D41	AP_D49	AP_D58	AP_D72	AP_D80	AP_D88	AP_D96	AP_D2	AP_D10	AP_D18	AP_D26	AP_D34	AP_D42	AP_D50	AP_D59	AP_D73	AP_D81	AP_D89	AP_D97	AP_D3	AP_D11	AP_D19	AP_D27	AP_D35	AP_D43	AP_D51	AP_D60	AP_D74	AP_D82	AP_D90	AP_D98	AP_D4	AP_D12	AP_D20	AP_D28	AP_D36	AP_D44	AP_D52	AP_D61	AP_D75	AP_D83	AP_D91	AP_D99	AP_D5	AP_D13	AP_D21	AP_D29	AP_D37	AP_D45	AP_D53	AP_D62	AP_D76	AP_D84	AP_D92	AP_D100	AP_D6	AP_D14	AP_D22	AP_D30	AP_D38	AP_D46	AP_D54	AP_D69	AP_D77	AP_D85	AP_D93	AP_D101	AP_D7	AP_D15	AP_D23	AP_D31	AP_D39	AP_D47	AP_D55	AP_D70	AP_D78	AP_D86	AP_D94	AP_D102	AP_D8	AP_D16	AP_D24	AP_D32	AP_D40	AP_D48	AP_D57	AP_D71	AP_D79	AP_D87	AP_D95	PCR_Blanks	AP_D103	AP_D111	AP_D119	AP_D127	AP_D135	AP_D143	AP_D151	AP_D104	AP_D112	AP_D120	AP_D128	AP_D136	AP_D144	AP_D152	AP_D105	AP_D113	AP_D121	AP_D129	AP_D137	AP_D145	AP_D153	AP_D106	AP_D114	AP_D122	AP_D130	AP_D138	AP_D146	AP_D154	AP_D107	AP_D115	AP_D123	AP_D131	AP_D139	AP_D147	Zymo_Mock	AP_D108	AP_D116	AP_D124	AP_D132	AP_D140	AP_D148	Blank1_10471351	AP_D109	AP_D117	AP_D125	AP_D133	AP_D141	AP_D149	Blank2_10471351	AP_D110	AP_D118	AP_D126	AP_D134	AP_D142	AP_D150
ASV_1	4966	2641	3908	3777	1359	4383	6249	4201	19583	9517	20462	19308	4672	3153	5889	4474	2998	5555	3554	6429	15814	14077	14685	11178	2750	7718	6247	1211	6709	2648	5927	8380	10514	11036	14376	8959	5778	9218	6651	4549	5048	3050	6124	21	3952	13737	1180	10082	11037	4618	7093	4452	9223	6837	18467	66	4780	22834	2737	9840	6803	3124	4770	5274	5745	5605	7781	10942	7164	15532	6667	4687	12598	2724	4602	6339	16129	4646	6840	10684	10527	16429	6680	6611	9464	2430	4863	4527	12776	7161	7298	13732	14210	17574	9038	16	8401	17176	18281	10304	11657	5717	7441	8957	15647	20227	19714	21788	3315	10518	11534	18640	13876	4279	20295	5638	0	25511	17999	18191	7177	21647	7160	2	3913	20242	3622	13895	16402	14421	0	3938	11394	5534	9120	17972	10159	2	7687	10251	8750	10775	11347	4207	0	12063	10789	7666	15848	19635	3876
ASV_2	2977	840	1008	2002	597	2308	1267	3523	1962	7611	5357	6835	2971	650	634	3154	820	1729	1785	1948	3326	2464	3733	4933	2546	1524	2230	410	1747	3776	1653	1393	2777	5619	3101	6186	4161	1753	2100	1752	2846	2888	1271	12	2300	4764	1386	6239	7253	972	3510	716	2333	2096	2216	32	3761	2285	2990	9601	3859	1081	2266	1465	3757	1254	1912	2459	2594	2196	1372	2587	3382	1167	2788	1671	4110	2695	1936	3921	2587	6830	2039	3346	2822	513	3843	778	1920	2285	2282	3168	6049	6315	4215	5	3027	6879	5858	11100	9521	1342	1457	5969	7449	3699	6058	7747	3916	2015	9491	2070	5342	1748	7347	1616	0	4230	2790	3902	2194	3940	2935	0	3884	12411	2622	1769	4605	2930	0	2225	12631	1508	2214	5800	1453	0	1866	8309	1961	7305	8547	1008	0	2962	10806	2788	9111	14263	1791
ASV_3	992	680	123	619	68	1180	102	1436	4	0	6	184	922	1011	155	939	127	1243	179	1057	10	0	0	301	833	5380	3904	1152	2489	1708	639	1474	8	3	13	199	886	6463	3141	6286	1970	2127	454	4	2053	0	2688	382	1247	1037	1538	1539	2334	1846	8978	22	2414	0	6752	384	2120	935	1689	1866	2126	1384	7224	25	8409	3	6777	2633	9263	1491	2014	3797	7608	95	2257	14	11557	10	9222	3723	8262	448	2460	2088	8165	535	2620	0	0	0	120	5	5077	2	8	2	13	5276	14667	5497	0	10	4	8	5279	14199	8	3	0	5098	6	11674	0	11	6	4	10709	3	8269	2	7108	0	5406	14185	0	0	0	7688	6	8840	10225	0	19	0	13069	0	11206	10	21	6787	2	11944	0	10099	3	30	5994
ASV_4	2934	1281	3442	3169	492	805	2677	160	2094	2017	1597	4289	2372	1708	5562	1313	1646	967	2733	4318	1513	1842	1231	3120	1564	80	732	628	4745	284	7748	4963	606	1286	1048	1904	1549	68	651	441	3294	809	7690	3	224	745	11	3178	2636	1139	7716	1146	14922	7568	150	17	147	1624	19	1786	4587	725	6290	499	7749	6842	81	1259	25	1075	10	9239	14	269	3820	453	195	2827	1419	1504	29	976	0	16045	53	229	932	1084	316	5592	1725	1431	3371	1079	2312	3	11117	1235	1209	296	1978	1022	0	8589	1185	1225	221	3668	605	7	407	2455	1128	0	1266	54	0	1581	1769	1666	0	2220	78	0	78	1853	0	0	1622	1144	0	52	520	0	0	1013	986	0	6	739	8	1752	3895	31	0	0	445	0	2565	6780	34
ASV_5	997	557	1162	850	167	840	1225	666	745	677	718	1169	856	557	1321	607	317	800	710	1501	544	397	438	874	886	1611	1920	85	1564	893	577	1565	359	589	335	871	1069	1510	937	872	1402	784	1011	0	593	423	172	1001	2306	701	926	932	1515	1529	2895	8	520	416	908	817	1612	443	551	668	751	1013	1710	348	448	248	405	463	2468	342	863	1001	2657	983	1235	534	986	522	659	901	2601	159	873	687	2844	1735	1614	493	774	550	570	0	707	459	807	730	659	760	821	1225	587	552	652	664	742	905	475	554	439	1020	746	1188	0	689	468	571	2108	749	968	0	1355	912	1289	2004	594	434	0	763	674	1791	1447	561	294	0	767	468	924	459	508	582	0	1559	529	1492	574	983	793
ASV_6	395	63	41	108	50	262	87	663	2157	2345	1935	2344	444	85	0	236	30	207	237	131	1467	999	1778	848	263	399	479	167	292	796	80	136	1121	1027	1660	1382	274	211	229	417	262	435	83	5	396	1565	496	1653	243	202	227	161	238	149	350	0	959	1061	940	1970	307	245	608	263	119	82	513	796	221	912	193	630	349	317	466	245	953	140	424	1702	262	2148	301	634	323	71	436	242	719	86	1404	1177	1878	2277	1361	0	482	1587	1667	4253	2389	369	247	1021	2824	1312	4395	2061	790	201	2656	970	1519	868	1424	391	0	1775	1351	982	576	1200	435	0	1656	2592	753	348	1111	2246	0	931	2985	521	297	936	1303	0	334	2089	236	1940	1261	639	0	546	2430	299	1633	1962	825
ASV_7	0	0	0	0	0	0	0	0	3075	731	4736	1673	0	0	0	0	4	0	0	0	3101	1199	1868	959	0	0	0	0	0	0	0	0	2308	841	2912	516	0	0	0	0	0	0	0	0	99	3275	12	595	0	0	0	0	0	0	0	0	85	3875	58	426	0	0	0	0	0	0	0	1551	17	3537	10	294	0	0	0	0	0	0	0	2121	24	4374	18	405	0	0	0	0	0	0	0	1961	912	4436	773	0	724	2624	2645	1194	610	383	35	437	4036	3681	2246	1215	243	25	2702	3954	3685	71	1741	69	0	5492	3719	3583	177	1746	48	0	171	2100	35	118	1048	3500	0	238	1332	83	60	1092	3054	0	25	2247	53	467	612	119	0	34	1825	32	1279	847	92
ASV_8	20	137	39	7	7	171	21	166	2665	2818	5436	1694	15	145	46	5	17	147	28	34	1845	2429	1395	1150	9	302	54	85	59	137	19	36	1112	2220	1111	972	9	239	39	369	37	98	29	0	92	2703	79	883	4	183	22	273	44	60	387	0	91	5289	181	876	0	127	34	274	8	34	296	1639	63	3157	77	132	178	143	41	284	178	15	312	2005	93	3646	61	193	206	55	39	272	238	38	439	1570	2390	3667	1013	0	130	1824	2532	872	586	51	117	180	2196	2487	1662	714	95	133	1057	2774	688	262	1495	108	0	2982	2049	863	416	2257	89	0	160	2078	197	224	1073	1355	0	93	1407	282	143	856	1111	0	78	952	88	587	264	173	0	90	1109	87	624	518	158
ASV_9	338	275	377	537	43	389	278	356	2008	1405	274	1291	315	345	631	291	86	384	303	526	515	1814	552	1029	1482	449	802	314	438	574	247	613	256	1454	444	796	1481	338	726	504	429	531	286	0	944	117	486	825	1620	417	824	496	975	596	1020	0	900	254	1156	772	1834	336	651	405	366	554	812	1213	1214	146	797	442	1360	362	714	431	1065	333	620	1267	1971	147	792	603	1565	204	547	507	1125	922	983	1152	1813	181	775	0	744	255	930	246	369	1456	1233	605	324	1034	484	486	1369	1254	257	411	598	83	674	1094	0	714	301	827	176	1219	787	0	1617	810	233	290	561	578	0	1151	508	458	229	453	518	0	1234	457	355	306	438	1119	0	1283	431	338	475	851	1216
ASV_10	356	116	79	215	72	381	134	640	409	1586	1218	1384	397	119	59	411	96	317	225	359	697	433	899	1136	299	299	359	100	243	657	217	198	639	1091	693	1240	590	309	318	316	333	560	237	0	338	1061	130	1106	930	187	626	119	358	249	368	0	561	543	294	1798	394	220	318	253	576	147	286	458	242	457	161	357	461	222	485	296	611	370	435	799	286	1704	161	432	415	65	700	174	311	374	461	585	1257	1654	891	0	436	1452	1525	3213	2057	177	177	696	1694	837	1476	1687	485	247	1935	452	1221	272	1669	206	0	971	636	884	334	858	346	0	463	2794	307	259	972	745	0	237	2873	222	276	1198	306	0	216	1974	252	1716	1902	175	0	342	2534	353	2177	2903	266
ASV_11	102	33	15	55	12	216	27	343	913	3099	1989	915	154	33	5	105	9	153	96	81	946	684	1286	613	152	126	176	30	66	534	33	37	848	1114	1059	1021	151	111	117	53	121	351	13	0	70	1201	177	766	205	74	162	61	86	54	139	4	155	815	302	1608	136	87	153	77	103	30	185	754	53	674	38	141	122	148	179	149	272	50	122	1101	70	1758	50	163	116	67	276	66	97	53	220	918	1264	1788	768	0	125	1488	1811	5736	2931	63	41	219	1932	1085	2412	1597	202	57	2603	786	1253	269	1491	85	0	1310	869	857	377	1096	96	0	328	3240	312	52	1148	1089	0	168	4705	142	83	1152	612	0	107	2170	43	2518	1696	105	0	119	3412	83	2094	2645	148
