DNA_ID,Sample_ID,Concentration_ng_ul,Filter_Extracted,Extraction_Date,Lot_Number,Project_ID,Location_ID,Date_Collected,Station_ID,Deployment_ID,FP_or_PT_Sample_Remaining_fraction,SD_remaining_est,Freezer_Temp_NegDegrees,Notes,Date,D_Number,Deployment_Type,Niskin_bottles,Deployment_Depth_m,Integrated_Depths_m,Depth_Class,Max_Depth,Temp_at_Deployment,Deployment_Time,Total_Filtration_Time_min,Volume_Filtered_mL,Storage_Code,Fraction,Replicate,Upper_Size_um,Lower_Size_um,NOTES,Start_Filtration_Time,End_Filtration_Time,Latitude,Longitude,lag,water_extracted,month
AP_D1,AAH_ONT_20230519_017_FP_EW1,28,0.5,20230608,172033163,AAH,ONT,20230519,17,AAH_ONT_20230519_017_1,0,NA,NA,"Filters upside down, so stopped and re-ran with fresh filters",20230519,1,Rosette Cast,1,5,NA,E,NA,NA,0-01-01T07:06:00Z,NA,1500,FF,Whole,1,20,0.22,"Filters upside down, so stopped and re-ran with fresh filters",0-01-01T07:17:00Z,0-01-01T07:34:00Z,43.22506666666666,-79.27145,28,750,May
AP_D9,AAH_ONT_20230515_074_FP_EW1,106,0.5,20230609,172033163,AAH,ONT,20230515,74,AAH_ONT_20230515_074_1,0.5,NA,NA,NA,20230515,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T16:37:00Z,NA,3510,FF,Whole,1,20,0.22,NA,0-01-01T14:49:00Z,0-01-01T17:13:00Z,43.747366666666665,-76.51155,36,1755,May
AP_D17,AAH_ONT_20230516_066_FP_EW1,65.1,0.5,20230613,172033163,AAH,ONT,20230516,66,AAH_ONT_20230516_066_1,0.5,NA,NA,NA,20230516,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T07:25:00Z,NA,2920,FF,Whole,1,20,0.22,NA,0-01-01T07:32:00Z,0-01-01T07:48:00Z,43.333666666666666,-76.83433333333333,23,1460,May
AP_D25,AAH_ONT_20230517_043_FP_EW1,24.8,0.5,20230613,172033163,AAH,ONT,20230517,43,AAH_ONT_20230517_043_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T17:09:00Z,NA,4000,FF,Whole,1,20,0.22,NA,0-01-01T17:27:00Z,0-01-01T17:42:00Z,43.950116666666666,-78.04975,33,2000,May
AP_D33,AAH_ONT_20230517_717_FP_EW1,151,0.5,20230613,172033163,AAH,ONT,20230517,717,AAH_ONT_20230517_717_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T08:17:00Z,NA,3100,FF,Whole,1,20,0.22,NA,0-01-01T08:28:00Z,0-01-01T08:46:00Z,43.30056666666667,-77.44083333333333,29,1550,May
AP_D41,AAH_ONT_20230518_033_FP_EW1,84.5,0.5,20230613,172033163,AAH,ONT,20230518,33,AAH_ONT_20230518_033_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T12:25:00Z,NA,3200,FF,Whole,1,20,0.22,NA,0-01-01T12:45:00Z,0-01-01T13:06:00Z,43.596916666666665,-78.81335,41,1600,May
AP_D49,AAH_ONT_20230518_038_FP_EW1,92.3,0.5,20230615,172033163,AAH,ONT,20230518,38,AAH_ONT_20230518_038_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T02:28:00Z,NA,3620,FF,Whole,1,20,0.22,NA,0-01-01T02:50:00Z,0-01-01T03:16:00Z,43.38341666666667,-77.98966666666666,48,1810,May
AP_D58,AAH_ONT_20230519_012_FP_MW2,69.2,0.5,20230615,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_2,0.5,NA,NA,NA,20230519,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T10:34:00Z,NA,3960,FF,Whole,2,20,0.22,NA,0-01-01T11:35:00Z,0-01-01T11:56:00Z,43.5035,-79.35378333333334,82,1980,May
AP_D72,AAH_ONT_20230927_008_FP_BW2,33.6,0.5,20231016,175026656_1,AAH,ONT,20230927,8,AAH_ONT_20230927_008_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,13.4,NA,B,NA,NA,0-01-01T20:03:00Z,NA,3920,FF,Whole,2,20,0.22,NA,0-01-01T20:49:00Z,0-01-01T21:14:00Z,43.62221667,-79.45091667,71,1960,September
AP_D80,AAH_ONT_20230927_017_FP_EW2,19.9,0.5,20231009,172033163,AAH,ONT,20230927,17,AAH_ONT_20230927_017_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T15:00:00Z,NA,1920,FF,Whole,2,20,0.22,tube burst and re-ran with new filters,0-01-01T16:31:00Z,0-01-01T16:38:00Z,43.22538333,-79.27113333,98,960,September
