initial,gated,percent,sample,Well,Sample_ID,cells_per_uL,cells_per_ml,cell_per_uL_ungated
11432,3598,0.3147305808257523,20240322_Plate1_A02.fcs,A02,AAH_ONT_20230926_038_FC_E1,1728.1683619617775,1728168.3619617776,5490.945167856319
31373,11646,0.3712109138431135,20240322_Plate1_A03.fcs,A03,AAH_ONT_20230923_066_FC_E2,5593.73227999079,5593732.2799907895,15068.878827078055
12914,4935,0.3821434102524392,20240322_Plate1_A04.fcs,A04,AAH_ONT_20230516_048_FC_B2,2370.347655998158,2370347.6559981583,6202.769935067925
25759,9854,0.38254590628518187,20240322_Plate1_A05.fcs,A05,AAH_ONT_20230519_008_FC_E1,4733.010294266635,4733010.294266636,12372.398231176605
10332,3444,0.3333333333333333,20240322_Plate1_A06.fcs,A06,AAH_ONT_20230516_064_FC_B1,1654.200066313608,1654200.066313608,4962.600198940825
29267,11665,0.3985717702531862,20240322_Plate1_A07.fcs,A07,AAH_ONT_20230926_048_FC_B2,5602.858238544785,5602858.238544785,14057.338368408933
20679,9674,0.46781759272692103,20240322_Plate1_A08.fcs,A08,AAH_ONT_20230516_064_FC_E2,4646.553844807736,4646553.844807736,9932.405102003224
26782,10721,0.4003061757897095,20240322_Plate1_A09.fcs,A09,AAH_ONT_20230927_029_FC_E1,5149.442192493667,5149442.192493667,12863.759052268018
29922,12038,0.4023126796337143,20240322_Plate1_A10.fcs,A10,AAH_ONT_20230926_048_FC_E1,5782.015214367948,5782015.214367948,14371.943781717708
13536,4319,0.31907505910165485,20240322_Plate1_A11.fcs,A11,AAH_ONT_20230517_041_FC_B1,2074.47447340548,2074474.4734054797,6501.524999309234
11804,3711,0.31438495425279567,20240322_Plate1_A12.fcs,A12,AAH_ONT_20230925_055_FC_M2,1782.4437996776421,1782443.799677642,5669.621830071379
11600,3533,0.3045689655172414,20240322_Plate1_B02.fcs,B02,AAH_ONT_20230926_038_FC_E1,1696.9479774349527,1696947.9774349527,5571.637854017959
9870,3752,0.3801418439716312,20240322_Plate1_B03.fcs,B03,AAH_ONT_20230515_074_FC_B1,1802.1366576099472,1802136.6576099473,4740.695311996316
12827,4804,0.37452249161924067,20240322_Plate1_B04.fcs,B04,AAH_ONT_20230516_048_FC_B2,2307.426573336403,2307426.5733364034,6160.982651162791
25794,9931,0.3850120182988292,20240322_Plate1_B05.fcs,B05,AAH_ONT_20230519_008_FC_E1,4769.99444209072,4769994.442090721,12389.209207460279
21151,8205,0.38792492080752683,20240322_Plate1_B06.fcs,B06,AAH_ONT_20230516_048_FC_E2,3940.973154501496,3940973.154501496,10159.113125028782
29132,11606,0.3983935191541947,20240322_Plate1_B07.fcs,B07,AAH_ONT_20230926_048_FC_B2,5574.519735666589,5574519.73566659,13992.496031314757
20835,9785,0.46964242860571154,20240322_Plate1_B08.fcs,B08,AAH_ONT_20230516_064_FC_E2,4699.868655307391,4699868.655307392,10007.334024867603
22113,8311,0.3758422647311536,20240322_Plate1_B09.fcs,B09,AAH_ONT_20230926_035_FC_M2,3991.8863969606264,3991886.3969606264,10621.174816025788
30112,12042,0.3999070138150903,20240322_Plate1_B10.fcs,B10,AAH_ONT_20230926_048_FC_E1,5783.936468800368,5783936.468800368,14463.203367257656
13895,4350,0.3130622526088521,20240322_Plate1_B11.fcs,B11,AAH_ONT_20230517_041_FC_B1,2089.364195256735,2089364.195256735,6673.957584618927
26990,10922,0.4046683957021119,20240322_Plate1_B12.fcs,B12,AAH_ONT_20230927_029_FC_M2,5245.985227722774,5245985.227722773,12963.664282753858
28344,12554,0.44291560824160314,20240322_Plate1_C01.fcs,C01,AAH_ONT_20230927_017_FC_B2,6029.857036150126,6029857.036150126,13614.00890812802
11673,3535,0.30283560352951255,20240322_Plate1_C02.fcs,C02,AAH_ONT_20230926_038_FC_E1,1697.9086046511625,1697908.6046511624,5606.700747409625
9400,3481,0.37031914893617024,20240322_Plate1_C03.fcs,C03,AAH_ONT_20230515_074_FC_B1,1671.9716698134932,1671971.6698134933,4514.947916186968
29393,12560,0.42731262545504034,20240322_Plate1_C04.fcs,C04,AAH_ONT_20230923_062_FC_E2,6032.738917798756,6032738.917798756,14117.857883030165
25144,9648,0.3837098313713013,20240322_Plate1_C05.fcs,C05,AAH_ONT_20230519_008_FC_E1,4634.065690997007,4634065.690997006,12077.005362192034
21186,8265,0.39011611441517985,20240322_Plate1_C06.fcs,C06,AAH_ONT_20230516_048_FC_E2,3969.7919709877965,3969791.9709877963,10175.924101312456
13485,3653,0.2708935854653319,20240322_Plate1_C07.fcs,C07,AAH_ONT_20230926_038_FC_B1,1754.5856104075524,1754585.6104075524,6477.029005295877
20192,9469,0.46894809825673534,20240322_Plate1_C08.fcs,C08,AAH_ONT_20230516_064_FC_E2,4548.089555146212,4548089.555146212,9698.49237485609
22477,8374,0.37255861547359526,20240322_Plate1_C09.fcs,C09,AAH_ONT_20230926_035_FC_M2,4022.1461542712404,4022146.1542712403,10796.008969376007
15397,5977,0.3881925050334481,20240322_Plate1_C10.fcs,C10,AAH_ONT_20230518_033_FC_M2,2870.834435643564,2870834.435643564,7395.388623992632
14075,4401,0.31268206039076374,20240322_Plate1_C11.fcs,C11,AAH_ONT_20230517_041_FC_B1,2113.86018927009,2113860.18927009,6760.414034077827
26690,10818,0.4053203446983889,20240322_Plate1_C12.fcs,C12,AAH_ONT_20230927_029_FC_M2,5196.032612479852,5196032.6124798525,12819.57020032236
28521,12592,0.44149924616948916,20240322_Plate1_D01.fcs,D01,AAH_ONT_20230927_017_FC_B2,6048.108953258116,6048108.953258117,13699.024416762604
28533,12550,0.4398415869344268,20240322_Plate1_D02.fcs,D02,AAH_ONT_20230927_033_FC_E2,6027.935781717706,6027935.7817177065,13704.788180059866
9708,3561,0.3668108776266996,20240322_Plate1_D03.fcs,D03,AAH_ONT_20230515_074_FC_B1,1710.396758461893,1710396.7584618928,4662.884507483306
29888,12672,0.42398286937901497,20240322_Plate1_D04.fcs,D04,AAH_ONT_20230923_062_FC_E2,6086.534041906517,6086534.041906517,14355.613119042135
42732,16731,0.39153327716933445,20240322_Plate1_D05.fcs,D05,AAH_ONT_20230927_033_FC_E1,8036.126977204697,8036126.977204697,20524.761101542714
21212,8236,0.38827079011880067,20240322_Plate1_D06.fcs,D06,AAH_ONT_20230516_048_FC_E2,3955.8628763527513,3955862.876352751,10188.412255123187
13599,3645,0.2680344142951688,20240322_Plate1_D07.fcs,D07,AAH_ONT_20230926_038_FC_B1,1750.7431015427123,1750743.1015427124,6531.784756619847
19252,6812,0.35383336796177023,20240322_Plate1_D08.fcs,D08,AAH_ONT_20230926_035_FC_B2,3271.8962984112363,3271896.298411236,9246.997583237393
22691,8553,0.3769335860032612,20240322_Plate1_D09.fcs,D09,AAH_ONT_20230926_035_FC_M2,4108.122290122035,4108122.2901220354,10898.796081510476
15398,5978,0.3882322379529809,20240322_Plate1_D10.fcs,D10,AAH_ONT_20230518_033_FC_M2,2871.314749251669,2871314.7492516693,7395.868937600737
12774,4185,0.32761860028182244,20240322_Plate1_D11.fcs,D11,AAH_ONT_20230518_033_FC_B2,2010.1124499194104,2010112.4499194105,6135.526029933227
26386,10685,0.40494959448192225,20240322_Plate1_D12.fcs,D12,AAH_ONT_20230927_029_FC_M2,5132.1509026018875,5132150.9026018875,12673.55486345844
28936,12900,0.4458114459496821,20240322_Plate1_E01.fcs,E01,AAH_ONT_20230927_017_FC_B2,6196.045544554455,6196045.544554455,13898.35456412618
28564,12789,0.4477314101666433,20240322_Plate1_E02.fcs,E02,AAH_ONT_20230927_033_FC_E2,6142.730734054801,6142730.734054801,13719.677901911122
25729,10905,0.42384080220762566,20240322_Plate1_E03.fcs,E03,AAH_ONT_20230925_055_FC_E1,5237.819896384986,5237819.896384986,12357.988822933456
29174,12412,0.4254473161033797,20240322_Plate1_E04.fcs,E04,AAH_ONT_20230923_062_FC_E2,5961.652503799217,5961652.503799217,14012.66920285517
42936,16744,0.38997577790199367,20240322_Plate1_E05.fcs,E05,AAH_ONT_20230927_033_FC_E1,8042.371054110062,8042371.054110061,20622.74507759613
34034,14219,0.4177880942586825,20240322_Plate1_E06.fcs,E06,AAH_ONT_20230927_017_FC_E2,6829.579193644947,6829579.193644946,16346.993338245451
13384,3594,0.2685295875672445,20240322_Plate1_E07.fcs,E07,AAH_ONT_20230926_038_FC_B1,1726.2471075293577,1726247.1075293578,6428.517330877274
19202,6793,0.3537652327882512,20240322_Plate1_E08.fcs,E08,AAH_ONT_20230926_035_FC_B2,3262.7703398572417,3262770.3398572416,9222.981902832144
30115,11320,0.3758924124190603,20240322_Plate1_E09.fcs,E09,AAH_ONT_20230518_035_FC_E1,5437.150043748561,5437150.043748561,14464.644308081972
15212,5975,0.39278201419931635,20240322_Plate1_E10.fcs,E10,AAH_ONT_20230518_033_FC_M2,2869.873808427354,2869873.8084273543,7306.530606493207
12523,4088,0.32643935159306875,20240322_Plate1_E11.fcs,E11,AAH_ONT_20230518_033_FC_B2,1963.5220299332257,1963522.0299332256,6014.967314298871
10313,2628,0.25482400853291964,20240322_Plate1_E12.fcs,E12,AAH_ONT_20230926_041_FC_B2,1262.264162099931,1262264.162099931,4953.4742403868295
15355,5415,0.35265385867795507,20240322_Plate1_F01.fcs,F01,AAH_ONT_20230518_035_FC_B1,2600.8981878885565,2600898.1878885566,7375.215452452222
28155,12562,0.44617297105309894,20240322_Plate1_F02.fcs,F02,AAH_ONT_20230927_033_FC_E2,6033.699545014966,6033699.545014966,13523.229636196176
26027,10846,0.41672109732201174,20240322_Plate1_F03.fcs,F03,AAH_ONT_20230925_055_FC_E1,5209.481393506792,5209481.393506792,12501.122278148745
10906,4365,0.4002384008802494,20240322_Plate1_F04.fcs,F04,AAH_ONT_20230517_055_FC_M1,2096.5688993783097,2096568.8993783097,5238.300209993091
42800,16409,0.38338785046728974,20240322_Plate1_F05.fcs,F05,AAH_ONT_20230927_033_FC_E1,7881.465995394888,7881465.995394887,20557.422426893852
34420,14329,0.4162986635676932,20240322_Plate1_F06.fcs,F06,AAH_ONT_20230927_017_FC_E2,6882.413690536496,6882413.690536496,16532.394390973983
16712,5971,0.3572881761608425,20240322_Plate1_F07.fcs,F07,AAH_ONT_20230517_041_FC_M2,2867.952553994934,2867952.553994934,8027.001018650702
