Well,Sample_ID
A01,PBS
B01,Beads
C01,AAH_ONT_20230926_041_FC_E2
D01,AAH_ONT_20230926_041_FC_E2
E01,AAH_ONT_20230926_041_FC_E2
F01,AAH_ONT_20230926_035_FC_M1
G01,AAH_ONT_20230926_035_FC_M1
H01,AAH_ONT_20230926_035_FC_M1
A02,AAH_ONT_20230926_048_FC_B1
B02,AAH_ONT_20230926_048_FC_B1
C02,AAH_ONT_20230926_048_FC_B1
D02,AAH_ONT_20230519_012_FC_B2
E02,AAH_ONT_20230519_012_FC_B2
F02,AAH_ONT_20230519_012_FC_B2
G02,AAH_ONT_20230517_041_FC_M1
H02,AAH_ONT_20230517_041_FC_M1
A03,AAH_ONT_20230517_041_FC_M1
B03,AAH_ONT_20230927_033_FC_B2
C03,AAH_ONT_20230927_033_FC_B2
D03,AAH_ONT_20230927_033_FC_B2
E03,AAH_ONT_20230926_041_FC_E1
F03,AAH_ONT_20230926_041_FC_E1
G03,AAH_ONT_20230926_041_FC_E1
H03,AAH_ONT_20230518_029_FC_M1
A04,AAH_ONT_20230518_029_FC_M1
B04,AAH_ONT_20230518_029_FC_M1
C04,AAH_ONT_20230925_055_FC_M1
D04,AAH_ONT_20230925_055_FC_M1
E04,AAH_ONT_20230925_055_FC_M1
F04,AAH_ONT_20230926_043_FC_B1
G04,AAH_ONT_20230926_043_FC_B1
H04,AAH_ONT_20230926_043_FC_B1
A05,AAH_ONT_20230926_038_FC_B2
B05,AAH_ONT_20230926_038_FC_B2
C05,AAH_ONT_20230926_038_FC_B2
D05,AAH_ONT_20230927_012_FC_M2
E05,AAH_ONT_20230927_012_FC_M2
F05,AAH_ONT_20230927_012_FC_M2
G05,AAH_ONT_20230926_041_FC_M1
H05,AAH_ONT_20230926_041_FC_M1
A06,AAH_ONT_20230926_041_FC_M1
B06,AAH_ONT_20230516_066_FC_E1
C06,AAH_ONT_20230516_066_FC_E1
D06,AAH_ONT_20230516_066_FC_E1
E06,AAH_ONT_20230923_066_FC_B2
F06,AAH_ONT_20230923_066_FC_B2
G06,AAH_ONT_20230923_066_FC_B2
H06,AAH_ONT_20230926_048_FC_E2
A07,AAH_ONT_20230926_048_FC_E2
B07,AAH_ONT_20230926_048_FC_E2
C07,AAH_ONT_20230925_055_FC_B2
D07,AAH_ONT_20230925_055_FC_B2
E07,AAH_ONT_20230925_055_FC_B2
F07,AAH_ONT_20230927_029_FC_B1
G07,AAH_ONT_20230927_029_FC_B1
H07,AAH_ONT_20230927_029_FC_B1
A08,AAH_ONT_20230927_017_FC_B1
B08,AAH_ONT_20230927_017_FC_B1
C08,AAH_ONT_20230927_017_FC_B1
D08,AAH_ONT_20230923_062_FC_B1
E08,AAH_ONT_20230923_062_FC_B1
F08,AAH_ONT_20230923_062_FC_B1
G08,AAH_ONT_20230518_033_FC_M1
H08,AAH_ONT_20230518_033_FC_M1
A09,AAH_ONT_20230518_033_FC_M1
B09,AAH_ONT_20230926_038_FC_E2
C09,AAH_ONT_20230926_038_FC_E2
D09,AAH_ONT_20230926_038_FC_E2
E09,AAH_ONT_20230924_717_FC_B1
F09,AAH_ONT_20230924_717_FC_B1
G09,AAH_ONT_20230924_717_FC_B1
H09,AAH_ONT_20230516_064_FC_M2
A10,AAH_ONT_20230516_064_FC_M2
B10,AAH_ONT_20230516_064_FC_M2
C10,AAH_ONT_20230923_064_FC_E2
D10,AAH_ONT_20230923_064_FC_E2
E10,AAH_ONT_20230923_064_FC_E2
F10,AAH_ONT_20230927_012_FC_E2
G10,AAH_ONT_20230927_012_FC_E2
H10,AAH_ONT_20230927_012_FC_E2
A11,AAH_ONT_20230518_035_FC_B2
B11,AAH_ONT_20230518_035_FC_B2
C11,AAH_ONT_20230518_035_FC_B2
D11,AAH_ONT_20230516_064_FC_E1
E11,AAH_ONT_20230516_064_FC_E1
F11,AAH_ONT_20230516_064_FC_E1
G11,AAH_ONT_20230926_043_FC_E1
H11,AAH_ONT_20230926_043_FC_E1
A12,AAH_ONT_20230926_043_FC_E1
B12,AAH_ONT_20230923_064_FC_M1
C12,AAH_ONT_20230923_064_FC_M1
D12,AAH_ONT_20230923_064_FC_M1
E12,AAH_ONT_20230515_074_FC_E1
F12,AAH_ONT_20230515_074_FC_E1
G12,AAH_ONT_20230515_074_FC_E1
H12,PBS
