Sample_ID,Deployment_ID
AAH_ONT_20230515_074_FC_B1,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FC_B1_R,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FC_B1_RD,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FC_B2,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FC_B2_R,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FC_B2_RD,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FC_E1,AAH_ONT_20230515_074_1
AAH_ONT_20230515_074_FC_E1_R,AAH_ONT_20230515_074_1
AAH_ONT_20230515_074_FC_E1_RD,AAH_ONT_20230515_074_1
AAH_ONT_20230515_074_FC_M1,AAH_ONT_20230515_074_3
AAH_ONT_20230515_074_FC_M1_R,AAH_ONT_20230515_074_3
AAH_ONT_20230515_074_FC_M1_RD,AAH_ONT_20230515_074_3
AAH_ONT_20230515_074_FP_BF1,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FP_BF2,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FP_BP1,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FP_BP2,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FP_BW1,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FP_BW2,AAH_ONT_20230515_074_2
AAH_ONT_20230515_074_FP_EF1,AAH_ONT_20230515_074_1
AAH_ONT_20230515_074_FP_EP1,AAH_ONT_20230515_074_1
AAH_ONT_20230515_074_FP_EW1,AAH_ONT_20230515_074_1
AAH_ONT_20230515_074_FP_MF1,AAH_ONT_20230515_074_3
AAH_ONT_20230515_074_FP_MP1,AAH_ONT_20230515_074_3
AAH_ONT_20230515_074_FP_MW1,AAH_ONT_20230515_074_3
AAH_ONT_20230516_048_FC_B1,AAH_ONT_20230516_048_2
AAH_ONT_20230516_048_FC_B1_R,AAH_ONT_20230516_048_2
AAH_ONT_20230516_048_FC_B1_RD,AAH_ONT_20230516_048_2
AAH_ONT_20230516_048_FC_B2,AAH_ONT_20230516_048_2
AAH_ONT_20230516_048_FC_B2_R,AAH_ONT_20230516_048_2
AAH_ONT_20230516_048_FC_B2_RD,AAH_ONT_20230516_048_2
AAH_ONT_20230516_048_FC_E1,AAH_ONT_20230516_048_1
AAH_ONT_20230516_048_FC_E1_R,AAH_ONT_20230516_048_1
AAH_ONT_20230516_048_FC_E1_RD,AAH_ONT_20230516_048_1
AAH_ONT_20230516_048_FC_E2,AAH_ONT_20230516_048_1
AAH_ONT_20230516_048_FC_E2_R,AAH_ONT_20230516_048_1
AAH_ONT_20230516_048_FC_E2_RD,AAH_ONT_20230516_048_1
AAH_ONT_20230516_048_FP_BF1,AAH_ONT_20230516_048_2
