DNA_ID,input,filtered,denoisedF,denoisedR,merged,nochim,perc_reads_retained,Sample_ID,Concentration_ng_ul,Filter_Extracted,Extraction_Date,Lot_Number,Project_ID,Location_ID,Date_Collected,Station_ID,Deployment_ID,FP_or_PT_Sample_Remaining_fraction,SD_remaining_est,Freezer_Temp_NegDegrees,Notes,Date,D_Number,Deployment_Type,Niskin_bottles,Deployment_Depth_m,Integrated_Depths_m,Depth_Class,Max_Depth,Temp_at_Deployment,Deployment_Time,Total_Filtration_Time_min,Volume_Filtered_mL,Storage_Code,Fraction,Replicate,Upper_Size_um,Lower_Size_um,NOTES,Start_Filtration_Time,End_Filtration_Time,Latitude,Longitude,lag,water_extracted,month,avg_cells_per_ml,Depth_Range,Chem_Depth,is_Fmax,is_stratified,EPA_Comments,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,DOC,Si,chl_a,pressure,temperature,conductivity,oxygenRaw,par,beamAttenuation,beamTransmission,fluorescence,spar,upoly,oxygen,conductivity2,flag,salinity,temperature2,oxygenRaw2,conductivity3,oxygen2,transect,good_oxygen
AP_D1,69027,48217,46611,46651,45363,44190,64.01842757181973,AAH_ONT_20230519_017_FP_EW1,28,0.5,20230608,172033163,AAH,ONT,20230519,17,AAH_ONT_20230519_017_1,0,NA,NA,"Filters upside down, so stopped and re-ran with fresh filters",20230519,1,Rosette Cast,1,5,NA,E,NA,NA,0-01-01T07:06:00Z,NA,1500,FF,Whole,1,20,0.22,"Filters upside down, so stopped and re-ran with fresh filters",0-01-01T07:17:00Z,0-01-01T07:34:00Z,43.22506666666666,-79.27145,28,750,May,NA,< 10 m,5,no,unstratified,NA,35.7,295,2.15,492,4.67,1.529848302641993,13.725000000000001,32.36,9.164,23.1097,23.3691,2.435,0.816,0.55,4.921,5.9916,194.77892400000002,2.1551,26.85,0.629,85.4498,0.17582,287.49,0.3701934,12.4599,314.2085,0,2245518.8623499526,NA,NA,NA,NA,T1,12.4599
AP_D9,41411,28469,27641,27785,26654,25778,62.249160850981625,AAH_ONT_20230515_074_FP_EW1,106,0.5,20230609,172033163,AAH,ONT,20230515,74,AAH_ONT_20230515_074_1,0.5,NA,NA,NA,20230515,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T16:37:00Z,NA,3510,FF,Whole,1,20,0.22,NA,0-01-01T14:49:00Z,0-01-01T17:13:00Z,43.747366666666665,-76.51155,36,1755,May,3173752.217821782,< 10 m,5,yes,stratified,NA,13.4,259,1.87,472,4.45,1.7862889484604554,14.076,30.98,8.64,24.8078,23.4899,2.942,1.07,4.8,4.887,9.2661,213.519764,2.5006,471.58,0.9845,78.1831,0.56044,1719,0.3440003,13.745750000000001,311.541,0,2245712.305789462,NA,NA,NA,NA,T5,13.745750000000001
AP_D17,44873,31754,30810,30791,29370,28214,62.87522563679718,AAH_ONT_20230516_066_FP_EW1,65.1,0.5,20230613,172033163,AAH,ONT,20230516,66,AAH_ONT_20230516_066_1,0.5,NA,NA,NA,20230516,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T07:25:00Z,NA,2920,FF,Whole,1,20,0.22,NA,0-01-01T07:32:00Z,0-01-01T07:48:00Z,43.333666666666666,-76.83433333333333,23,1460,May,5076274.419525674,< 10 m,5,no,unstratified,NA,16.4,270,1.62,489,5.54,1.8382634000172544,14.876999999999999,31.96,8.952,25.7602,24.7462,2.803,0.842,2.06,4.897,12.3324,240.974532,2.442,56.202,0.6832,84.2997,0.58242,362.32,0.3527313,12.3597,322.719,0,2486388.3521219236,NA,NA,NA,NA,T5,12.3597
AP_D25,39900,26624,25751,25768,24746,24078,60.34586466165413,AAH_ONT_20230517_043_FP_EW1,24.8,0.5,20230613,172033163,AAH,ONT,20230517,43,AAH_ONT_20230517_043_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T17:09:00Z,NA,4000,FF,Whole,1,20,0.22,NA,0-01-01T17:27:00Z,0-01-01T17:42:00Z,43.950116666666666,-78.04975,33,2000,May,2889886.875431729,< 10 m,5,no,unstratified,NA,11.8,222,0.863,499,5.48,1.6316852169318026,14.703,32.9,9.164,24.7628,23.7067,2.498,1.28,0.56,4.91,5.8797,196.309483,2.1685,420.23,0.2421,94.1281,0.079365,1226.8,0.4030386,12.5967,317.841,0,2310594.3148969803,NA,NA,NA,NA,T3,12.5967
AP_D33,22430,11515,10839,10784,10106,9653,43.03611234953188,AAH_ONT_20230517_717_FP_EW1,151,0.5,20230613,172033163,AAH,ONT,20230517,717,AAH_ONT_20230517_717_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T08:17:00Z,NA,3100,FF,Whole,1,20,0.22,NA,0-01-01T08:28:00Z,0-01-01T08:46:00Z,43.30056666666667,-77.44083333333333,29,1550,May,3552719.654616624,< 10 m,5,yes,NA,NA,17.4,334,0.876,477,3.43,1.768242451726188,14.484000000000002,32.88,8.796,24.8058,23.6466,2.198,1.15,0.44,4.887,10.2099,210.512261,2.5018,81.047,1.179,74.4713,1.5128,563.17,0.0483931,13.4244,298.918,0,2027832.859512056,NA,NA,NA,NA,T4,13.4244
AP_D41,53787,36082,35262,35145,34301,33014,61.37914365924852,AAH_ONT_20230518_033_FP_EW1,84.5,0.5,20230613,172033163,AAH,ONT,20230518,33,AAH_ONT_20230518_033_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T12:25:00Z,NA,3200,FF,Whole,1,20,0.22,NA,0-01-01T12:45:00Z,0-01-01T13:06:00Z,43.596916666666665,-78.81335,41,1600,May,5429465.02601888,< 10 m,5,yes,stratified,NA,13.5,316,2.08,473,6.64,1.5695684564345505,13.767000000000001,33.26,9.092,23.2296,23.4689,2.508,1.21,3.44,4.901,7.9339,203.198648,2.4261,760.62,0.6486,85.0316,0.32845,1780.1,0.3311117,13.6787,308.355,0,2170517.842310791,NA,NA,NA,NA,T2,13.6787
AP_D49,61580,39115,37816,37820,36368,35121,57.03312763884378,AAH_ONT_20230518_038_FP_EW1,92.3,0.5,20230615,172033163,AAH,ONT,20230518,38,AAH_ONT_20230518_038_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T02:28:00Z,NA,3620,FF,Whole,1,20,0.22,NA,0-01-01T02:50:00Z,0-01-01T03:16:00Z,43.38341666666667,-77.98966666666666,48,1810,May,5811794.658070458,< 10 m,5,yes,unstratified,NA,17.6,237,0.352,416,8.27,1.633294485392623,11.385,29.94,8.638,20.1485,21.8617,2.692,1.4,3.32,4.872,12.3816,219.714236,2.348,1e-12,0.9831,78.2092,0.96947,0,0.3053344,11.7568,293.881,0,1955173.5196917157,NA,NA,NA,NA,T3,11.7568
AP_D58,52334,33406,32734,32651,31620,30039,57.39863186456223,AAH_ONT_20230519_012_FP_MW2,69.2,0.5,20230615,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_2,0.5,NA,NA,NA,20230519,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T10:34:00Z,NA,3960,FF,Whole,2,20,0.22,NA,0-01-01T11:35:00Z,0-01-01T11:56:00Z,43.5035,-79.35378333333334,82,1980,May,4733650.712410776,10-20 m,15,yes,stratified,NA,5.87,282,1.26,474,5.37,1.401345224815463,13.799999999999999,32.48,9.154,23.1792,23.2234,2.601,0.847,3.2,14.741,6.135,194.109511,2.3272,53.725,0.5001,88.2467,1.0586,1453.2,0.3406742,13.692,311.71,0,2202433.535422276,NA,NA,NA,NA,T1,13.692
AP_D72,87697,63256,61736,61738,59630,58538,66.75028792319007,AAH_ONT_20230927_008_FP_BW2,33.6,0.5,20231016,175026656_1,AAH,ONT,20230927,8,AAH_ONT_20230927_008_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,13.4,NA,B,NA,NA,0-01-01T20:03:00Z,NA,3920,FF,Whole,2,20,0.22,NA,0-01-01T20:49:00Z,0-01-01T21:14:00Z,43.62221667,-79.45091667,71,1960,September,4845083.469491135,10-20 m,13.4,no,unstratified,NA,44,161,1.27,381,3.23,1.537,13.008000000000001,29.96,8.638,22.3409,22.0139,2.68,0.63,1.48,13.126,18.9671,265.366108,0.0281,1e-12,0.8972,79.9083,0.86081,1.9691,0.2974395,-2.1942,266.409762,0,2100446.481866441,18.9651,2.5055,301.743,9.1178,T1,9.1178
AP_D80,86910,64171,62791,62736,60563,59107,68.00943504775054,AAH_ONT_20230927_017_FP_EW2,19.9,0.5,20231009,172033163,AAH,ONT,20230927,17,AAH_ONT_20230927_017_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T15:00:00Z,NA,1920,FF,Whole,2,20,0.22,tube burst and re-ran with new filters,0-01-01T16:31:00Z,0-01-01T16:38:00Z,43.22538333,-79.27113333,98,960,September,6822214.384987337,< 10 m,5,no,unstratified,NA,25,185,1.18,396,3.48,1.459,12.657,27.94,8.518,20.2255,19.8245,2.734,0.76,2.74,4.89,18.4061,264.595054,0.0281,352.99,0.9538,78.7843,0.97802,1843.1,0.3194746,-2.2159,265.679468,0,2155803.080348457,18.4088,2.5336,304.761,9.3385,T1,9.3385
