ASV	September_62_B	September_33_E	September_43_B	September_62_E	September_41_E	September_29_E	September_48_B	September_17_B	September_66_B	September_29_B	September_55_E	September_29_M	September_66_E	September_8_E	September_12_E	September_8_B	September_17_E	September_43_E	May_38_E	September_717_E	September_48_E	September_35_E	May_66_E	September_64_E	May_8_E	September_48_M	May_12_E	May_33_E	May_17_E	September_35_M	May_717_E	May_35_M	May_55_E	May_35_E	May_12_M	September_35_B	May_29_E	May_64_E	May_41_E	May_64_M	May_35_B	May_33_B	May_38_M	May_12_B	May_74_E	May_74_M	May_41_B	May_55_M	May_48_E	May_29_B	May_29_M	May_74_B	May_64_B	May_43_E	May_48_B	May_41_M	September_12_B	May_55_B	September_55_B	May_33_M	September_717_B	September_64_B	September_41_B	September_38_B	September_55_M	September_33_B	September_64_M	September_38_E	September_41_M	September_12_M	September_33_M	September_717_M	taxonomy
ASV_1	2644346	2572920	2508717	2409459	2359848	2277357	2189657	2137696	2021682	2007145	1995190	1935337	1926869	1902164	1891872	1847716	1690165	1671984	1617148	1520686	1512117	1503684	1438511	1371097	1369184	1244607	1039181	1026434	1004958	979359	909203	905186	853224	832708	797069	734943	726248	721834	690718	650627	641670	636315	624437	609793	599305	592888	566551	558341	554649	544583	543144	497084	484261	447283	438961	437133	354451	287135	284864	308869	217877	318720	262156	317024	203582	262445	227178	250861	131458	244144	99794	196934	Bacteria; Proteobacteria; Alphaproteobacteria; SAR11 clade; Clade III; NA; NA
ASV_2	800443	605049	332770	648409	874058	438957	543434	688050	1043815	615927	575156	546552	1188126	561168	438548	284520	973054	729860	327881	1119581	1196941	586175	241098	783706	332213	1130735	294131	416957	226725	540770	295694	288835	191331	483028	402382	584354	183708	191414	336305	212079	172769	132744	313624	95902	190616	122226	190198	125840	436214	212747	355195	139784	93701	279504	273416	306247	103805	107775	82409	361232	77478	55158	64085	164301	91830	67071	78172	131737	102290	169463	111488	114645	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade; NA
ASV_7	164627	423198	525380	200319	521976	445246	359711	173651	110318	484003	452211	479035	126369	322979	388679	279307	117037	339257	0	71612	164040	129754	0	157125	0	240876	0	0	0	71736	835	0	0	0	0	37666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	1475	0	1992	2465	783	21204	2624	551	4918	15521	6848	5145	1783	13649	Bacteria; Cyanobacteria; Cyanobacteriia; Synechococcales; Cyanobiaceae; Cyanobium PCC-6307; NA
ASV_8	148395	221869	330237	215543	257293	497679	285392	395737	78582	480362	96502	411943	87647	320516	212484	234881	370986	204776	5434	38383	166574	143599	12481	115743	5454	121917	47401	32844	4750	103203	5008	4803	47986	2688	41936	64891	3465	28903	3261	24995	4848	9158	4920	15867	31089	27266	4085	28570	1171	4447	756	8652	15469	651	98	3695	3126	22632	3037	12739	3354	5082	2230	5662	10651	2714	13445	7216	4236	5117	6624	3183	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Methylacidiphilales; Methylacidiphilaceae; NA; NA
ASV_3	0	1151	616	517	1210	0	1024	255	1269	317	249	787	941	3430	1293	222	0	102	26396	2503	287	16126	40819	274	124182	0	342899	250257	171757	24317	40692	67627	298707	17027	281147	28259	183786	183862	187891	244774	166580	347227	31450	376404	154308	190108	309455	302396	111801	206540	200996	394859	338634	84458	82847	206628	400032	370784	369702	207882	339516	338039	332015	193122	316758	314592	313461	141129	247745	124896	240504	230141	Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; NA; NA
ASV_6	157473	304384	158922	150742	282264	163527	169393	172459	268993	222266	155611	185292	258600	219717	185968	184910	300820	224694	22514	158194	266566	196541	6020	395005	18519	267318	64417	48440	18119	108456	16694	10871	37196	25092	143277	133656	18741	41677	48617	48980	11913	36807	41641	20049	14296	15983	31099	25024	34926	25661	11251	15141	17442	18648	13533	41658	9677	29112	9284	66728	14062	8932	11681	27451	28327	9714	28635	28066	43317	37885	36585	25271	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; CL500-29 marine group; NA
ASV_11	176936	207615	113320	148616	249267	125541	164673	153051	273708	199311	131283	147265	333799	163161	128913	101551	310793	174213	6987	213069	379750	89279	2937	372167	5226	330200	18535	38112	8008	79469	4382	6699	12106	8962	39025	87579	6772	15011	18341	27141	4332	8123	16867	7527	7488	6205	12870	11048	19707	8662	9738	5362	6777	8674	8390	21014	2464	4138	2186	47973	3081	1870	3000	6283	10095	1730	12811	6750	8305	6291	12204	5778	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade; NA
ASV_5	88853	68438	69978	85884	74149	52246	77276	83931	79973	66912	62842	46626	74765	77578	64888	68662	103360	53283	317012	73183	75807	92250	364583	63124	180422	58977	187630	169385	208063	84868	100999	219313	140362	176184	158041	67068	119296	106662	85998	63245	131098	121099	124747	106983	126396	104738	125495	86737	127150	137385	71001	114211	89241	78983	96404	80176	28731	47706	41924	90904	36704	47791	30875	35286	68483	20922	62030	30286	35464	31119	27515	32750	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Methylophilaceae; Candidatus Methylopumilus; NA
ASV_19	55696	79859	39508	47566	55294	31883	37188	45796	33670	29868	45109	39481	29964	32720	35067	27343	31770	49513	42700	45107	51908	30343	25108	32658	52831	55487	180945	353231	25787	34823	59473	21489	137291	24555	156170	17007	41261	189549	131063	141007	19391	23159	46560	14381	68531	66566	17834	55701	91900	11441	26755	11311	3260	29111	26229	63873	10358	5783	12529	102504	9874	5069	4659	11324	4380	7492	3946	14211	6631	24772	9044	15612	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Crocinitomicaceae; Fluviicola; NA
ASV_32	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	74271	0	0	0	117465	0	55104	0	51655	43379	38749	0	130214	85829	143695	88002	62870	0	46616	313087	63639	307640	57194	24986	96283	43792	106881	118465	12167	71373	5984	13525	31199	45062	3746	13119	2116	24708	781	3290	364	75239	358	0	0	0	0	0	0	0	0	0	0	109	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; NA
